code;name;dimension;disc price;price;
PND1399;KATTY COLOR NEW SARKIT /PENDANT;20 CM;3750;5250;1.500,00 TL;
PND1211;KATTY COLOR  SARKIT /PENDANT;;3000;4200;;
PND1211;KATTY COLOR  SARKIT /PENDANT;;3000;4200;;
PND1211;KATTY COLOR  SARKIT /PENDANT;;3000;4200;;
PND1237;"KATTY COLOR SEHPA
renk alternatifli";ÇAP :50 UZUNLUK:53 CM ;12500;17500;;
PND1237;"KATTY COLOR ORTA SEHPA 
renk alternatifli ";75 X35 CM ;17500;24500;;
PND1677;PLASS SARKIT SMALL TEKLİ/PENDANT;30X20 CM ;2450;3430;;
PND1677;PLASS SARKIT MEDIUM TEKLİ/PENDANT;25X45 CM;3750;5250;;
PND1273;DREAM GLAS SARKIT/PENDANT;15X 100 CM ;920;1288;160,00 TL;
PND1273;DREAM GLAS SARKIT/PENDANT;20 X 100 CM ;1750;2450;450,00 TL;
PND1273;DREAM GLAS SARKIT/PENDANT;25 X 100 CM ;2750;3850;700,00 TL;
PND1273;DREAM GLAS SARKIT/PENDANT;30 X 100 CM ;3500;4900;900 cam;
PND1273;DREAM GLAS 5 L SARKIT/PENDANT;40X100 CM;6900;9660;;
PND1273;DREAM GLAS 6 L SARKIT/PENDANT;55X90 CM ;8900;12500;;
PND1273;DREAM GLAS 10 L SARKIT/PENDANT;160X70 CM;12500;17500;;
PND1273;DREAM GLAS APLİK/WALL;35X15CM;1250;1750;;
PND1273;DREAM GLAS APLİK/WALL;15X73 CM ;1875;2625;;
PND1273;DREAM GLAS APLİK/WALL;15X30 CM;1850;2590;;
PND1273;DREAM GLAS APLİK/WALL;15X40 CM;2800;3920;;
PND1273;DREAM GLAS  SARKIT/PENDANT;70 X115 CM;9500;13300;4.750,00 TL;
PND1262   ;PILOVITI SARKIT/PENDANT;140 Q ;17500;24500;;
PND1227;CLOUD SARKIT SMALL;35X20 CM ;5600;7850;2.800,00 TL;
PND1227;CLOUD SARKIT MEDIUM;65X45X45CM;7000;8800;3.500,00 TL;
PND1227;CLOUD SARKIT LARGE;90X45X45 CM;12600;15000;6.300,00 TL;
PND1226;CLOUD SARKIT FANUS ;50 CM;11900;15000;5.950,00 TL;
PND1227;CLOUD ABAJUR/TABLE LAMP;65 x 65 cm;8400;11760;4.200,00 TL;
PND1227;CLOUD ABAJUR/TABLE LAMP;65 x 65 cm;8400;11760;4.200,00 TL;
PND1227;CLOUD LAMBADER/FLOOR LAMP;150X50 CM ;12600;12750;6.300,00 TL;
PND1227;CLOUD LAMBADER/FLOOR LAMP;175x55x45 cm;11200;15000;5.600,00 TL;
PND1676;ANGELA MASA LAMBASI/TABLE LAMP ;24X43 CM;3900;4750;650 cam ;
PND1676;ANGELA SARKIT/PENDANT;24X150 CM ;2900;4060;650 cam;
